frame,x_nm,y_nm
1,13791.83,8766.77
2,13657.71,8699.80
3,13720.30,8740.45
4,13762.46,8861.81
5,13944.95,10642.20
6,14678.90,9724.77
7,14311.77,9344.39
8,14100.28,9548.49
9,14139.03,9477.65
10,14206.09,9611.18
11,14364.63,9691.06
12,14274.40,9883.36
13,14282.82,10064.72
14,14177.89,10379.33
15,14276.91,10265.75
16,14282.89,10327.34
17,14330.78,10483.74
18,13944.95,9908.26
19,14445.79,10582.23
20,14128.44,9908.26
21,14569.00,10642.42
22,14608.77,10685.82
23,14495.41,10091.74
24,13761.47,10458.72
25,14678.90,10091.74
26,15045.87,9174.31
27,14678.90,9357.80
28,13761.47,10275.23
29,14128.44,9174.31
30,14495.41,9541.28
