frame,x_nm,y_nm
3,13082.57,7844.04
4,13225.12,7424.14
5,12587.16,10458.72
6,12083.88,10948.01
7,12678.90,10972.48
8,12512.01,10519.88
9,12448.84,10811.57
10,12465.03,10425.63
11,12725.86,10166.38
12,12746.18,10581.04
13,12768.25,11053.05
14,13014.42,11428.57
15,13040.63,10917.43
16,13110.53,10851.90
17,13170.23,11508.66
18,13348.62,11399.08
19,13288.27,11627.23
20,13365.52,11178.17
21,13611.34,11501.25
22,13586.93,11653.61
23,13697.00,11668.73
24,13977.57,11441.39
25,13908.26,11493.58
26,14268.56,11289.41
27,14597.07,11708.41
28,14152.23,11576.62
29,14074.47,11797.09
30,14063.33,11926.61
