frame,x_nm,y_nm
4,5982.96,15458.72
5,5784.65,15441.82
6,5906.51,15482.74
7,6136.60,15443.43
8,6008.11,15519.52
9,5984.99,15536.28
10,6500.66,15602.88
11,6262.82,16001.08
12,6428.13,16061.16
13,6749.95,15764.20
14,6887.79,15942.13
15,6321.93,14478.73
16,6703.10,15725.16
17,7289.41,16130.11
18,7278.29,16391.44
19,7271.49,16173.97
20,8202.51,14984.71
21,6865.44,14235.47
22,8445.33,14336.72
23,8623.85,14748.80
24,7074.41,14209.99
25,7290.05,14262.53
26,6880.73,14062.91
27,8371.56,15028.67
28,8685.02,14656.66
29,8761.47,14604.36
30,7579.82,13288.07
