frame,x_nm,y_nm
1,18511.72,9769.62
2,18499.73,10107.93
3,18545.22,9901.70
4,18557.71,10104.54
5,18500.47,10338.50
6,18523.77,10458.72
7,18740.62,10617.18
8,18567.62,10435.04
9,18855.91,10588.24
10,18733.94,10908.26
11,19223.71,10910.37
14,20293.58,11678.90
16,19065.89,11909.92
17,18814.40,11912.49
18,19140.24,11318.48
19,19553.52,11229.36
20,19585.68,11180.82
21,19545.45,11509.59
22,19442.75,11247.03
23,16213.51,8907.42
24,16234.16,8859.76
25,16137.61,8706.42
26,18703.36,9137.61
27,18738.53,9185.78
28,16448.23,9095.67
29,16598.45,9146.08
30,16722.94,9302.75
