frame,x_nm,y_nm
1,9588.61,23537.72
2,9699.03,23658.91
3,9858.87,23726.56
4,9688.91,23869.64
5,9818.34,24013.55
6,9920.36,24184.91
7,10008.55,24284.84
8,9908.26,24587.16
9,10275.23,22752.29
10,9908.26,24403.67
11,10275.23,22752.29
12,10091.74,24587.16
13,10275.23,24403.67
14,10275.23,22752.29
15,9724.77,24036.70
16,10275.23,22752.29
17,10091.74,24770.64
18,10275.23,22752.29
19,10275.23,22752.29
20,10458.72,24036.70
21,10275.23,23119.27
22,9357.80,23486.24
23,10275.23,22752.29
24,9357.80,23853.21
25,9357.80,23853.21
26,10091.74,24036.70
27,9357.80,23302.75
28,10275.23,22752.29
29,10275.23,22752.29
30,9724.77,23853.21
